item,KC1,KC2,KC3,KC4,KC5,KC6
1,1,0,0,0,0,0
2,1,0,0,0,0,0
3,1,0,0,0,0,0
4,1,1,0,0,0,0
5,1,0,0,0,0,0
6,1,0,0,0,0,0
7,1,1,0,0,0,0
8,0,1,1,0,0,0
9,0,1,0,0,0,0
10,0,1,0,0,1,0
11,1,1,0,0,1,0
12,0,0,1,0,0,0
13,0,0,1,0,0,0
14,0,0,1,0,0,0
15,0,0,1,0,0,1
16,0,1,1,0,0,1
17,0,1,1,0,0,1
18,0,1,1,0,0,0
19,0,1,0,1,0,0
20,0,0,0,1,0,0
21,0,1,1,1,0,0
22,0,1,0,1,0,0
23,0,1,1,1,0,0
24,0,0,0,0,1,0
25,0,1,1,0,1,0
26,0,1,1,0,1,0
27,0,1,1,0,1,0
28,0,1,1,0,1,0
29,0,0,1,0,1,1
30,0,0,0,0,0,1
31,0,0,0,0,0,1
32,0,0,1,0,1,1